,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
1828,1,40,10,90,0.8880859375,"(0.8765906061632286, 0.7823394357738404, 0.8897795239899396, 0.8765906061632286)",0.3-0.7
1829,1,40,10,100,0.8884765625,"(0.8771767656476885, 0.7821476784095827, 0.8901286496024872, 0.8771767656476885)",0.3-0.7
1830,1,40,1000,10,0.96875,"(0.9584725987969709, 0.8893604130978936, 0.9588374164748604, 0.9584725987969709)",0.3-0.7
1831,1,40,1000,20,0.9791015625,"(0.9704451166113811, 0.8992752224794233, 0.970585377361806, 0.9704451166113811)",0.3-0.7
1832,1,40,1000,30,0.9802734375,"(0.9753845970469062, 0.9040130891338871, 0.9754128448974955, 0.9753845970469062)",0.3-0.7
1833,1,40,1000,40,0.98125,"(0.9779801757496847, 0.9071316450270688, 0.977987675791611, 0.9779801757496847)",0.3-0.7
1834,1,40,1000,50,0.98125,"(0.9791525297759904, 0.908465787763604, 0.9791324056467845, 0.9791525297759904)",0.3-0.7
1835,1,40,1000,60,0.9822265625,"(0.9794874680364287, 0.9095641032120492, 0.9794443690346858, 0.9794874680364287)",0.3-0.7
1836,1,40,1000,70,0.983203125,"(0.9790687426248026, 0.9089126796014136, 0.9790596219079897, 0.9790687426248026)",0.3-0.7
1837,1,40,1000,80,0.9837890625,"(0.9790687075674172, 0.9080300801709378, 0.9790423834586258, 0.9790687075674172)",0.3-0.7
1838,1,40,1000,90,0.98359375,"(0.9794872226347309, 0.8869751903647488, 0.979365468935961, 0.9794872226347309)",0.3-0.7
1839,1,40,1000,100,0.984375,"(0.979738408801367, 0.9096420680004916, 0.9797043286869112, 0.979738408801367)",0.3-0.7
1840,1,40,2000,10,0.96875,"(0.9584725987969709, 0.8893604130978936, 0.9588374164748604, 0.9584725987969709)",0.3-0.7
1841,1,40,2000,20,0.9791015625,"(0.9704451166113811, 0.8992752224794233, 0.970585377361806, 0.9704451166113811)",0.3-0.7
1842,1,40,2000,30,0.9802734375,"(0.9753845970469062, 0.9040130891338871, 0.9754128448974955, 0.9753845970469062)",0.3-0.7
1843,1,40,2000,40,0.98125,"(0.9779801757496847, 0.9071316450270688, 0.977987675791611, 0.9779801757496847)",0.3-0.7
1844,1,40,2000,50,0.98125,"(0.9791525297759904, 0.908465787763604, 0.9791324056467845, 0.9791525297759904)",0.3-0.7
1845,1,40,2000,60,0.9822265625,"(0.9794874680364287, 0.9095641032120492, 0.9794443690346858, 0.9794874680364287)",0.3-0.7
1846,1,40,2000,70,0.983203125,"(0.9790687426248026, 0.9089126796014136, 0.9790596219079897, 0.9790687426248026)",0.3-0.7
1847,1,40,2000,80,0.9837890625,"(0.9790687075674172, 0.9080300801709378, 0.9790423834586258, 0.9790687075674172)",0.3-0.7
1848,1,40,2000,90,0.98359375,"(0.9794872226347309, 0.8869751903647488, 0.979365468935961, 0.9794872226347309)",0.3-0.7
1849,1,40,2000,100,0.984375,"(0.979738408801367, 0.9096420680004916, 0.9797043286869112, 0.979738408801367)",0.3-0.7
